Time,H,SAL
03/05/2011 03:00:00,-0.033819,16.746826
03/05/2011 04:00:00,-0.092001,16.848796
03/05/2011 05:00:00,-0.119942,17.499796
03/05/2011 06:00:00,-0.115267,17.729904
03/05/2011 07:00:00,-0.080257,17.888159
03/05/2011 08:00:00,-0.016213,17.941265
03/05/2011 09:00:00,0.062783,19.190545
03/05/2011 10:00:00,0.131116,18.882213
03/05/2011 11:00:00,0.165560,18.718239
03/05/2011 12:00:00,0.181448,19.729729
03/05/2011 13:00:00,0.144514,19.313084
03/05/2011 14:00:00,0.096809,18.377749
03/05/2011 15:00:00,0.035583,18.364834
03/05/2011 16:00:00,-0.026918,18.309135
03/05/2011 17:00:00,-0.068094,17.757897
03/05/2011 18:00:00,-0.072164,18.162258
03/05/2011 19:00:00,-0.045252,18.804086
03/05/2011 20:00:00,0.004811,18.801148
03/05/2011 21:00:00,0.074066,20.422051
03/05/2011 22:00:00,0.144176,19.426629
03/05/2011 23:00:00,0.175422,19.584963
04/05/2011 00:00:00,0.190982,19.278451
04/05/2011 01:00:00,0.150596,18.938469
04/05/2011 02:00:00,0.095908,18.761859
04/05/2011 03:00:00,0.015537,18.242227
04/05/2011 04:00:00,-0.051887,19.231747
04/05/2011 05:00:00,-0.105785,18.393938
04/05/2011 06:00:00,-0.139595,18.039232
04/05/2011 07:00:00,-0.125727,19.549873
04/05/2011 08:00:00,-0.074248,20.112289
04/05/2011 09:00:00,0.002901,19.774408
04/05/2011 10:00:00,0.088028,19.848128
04/05/2011 11:00:00,0.155968,20.565059
04/05/2011 12:00:00,0.196906,21.021378
04/05/2011 13:00:00,0.181780,20.936869
04/05/2011 14:00:00,0.151661,19.513728
04/05/2011 15:00:00,0.084882,19.440104
04/05/2011 16:00:00,0.018563,19.270198
04/05/2011 17:00:00,-0.037201,18.261131
04/05/2011 18:00:00,-0.073406,18.080116
04/05/2011 19:00:00,-0.081340,18.544665
04/05/2011 20:00:00,-0.057685,18.865107
04/05/2011 21:00:00,0.002449,19.522161
04/05/2011 22:00:00,0.076242,20.127577
04/05/2011 23:00:00,0.123987,19.441703
05/05/2011 00:00:00,0.166244,19.805879
05/05/2011 01:00:00,0.165985,20.585285
05/05/2011 02:00:00,0.119953,18.549803
05/05/2011 03:00:00,0.059565,19.788441
05/05/2011 04:00:00,-0.016144,19.254764
05/05/2011 05:00:00,-0.089452,18.758649
05/05/2011 06:00:00,-0.136637,18.969937
05/05/2011 07:00:00,-0.156935,18.473192
05/05/2011 08:00:00,-0.125915,19.166310
05/05/2011 09:00:00,-0.076595,20.549593
05/05/2011 10:00:00,0.005514,20.392165
05/05/2011 11:00:00,0.091775,20.939326
05/05/2011 12:00:00,0.156615,20.401788
05/05/2011 13:00:00,0.193445,20.803269
05/05/2011 14:00:00,0.181377,20.622381
05/05/2011 15:00:00,0.127218,20.098019
05/05/2011 16:00:00,0.063487,19.094585
05/05/2011 17:00:00,-0.002217,18.873993
05/05/2011 18:00:00,-0.054326,19.939180
05/05/2011 19:00:00,-0.084347,18.314030
05/05/2011 20:00:00,-0.079172,20.082011
05/05/2011 21:00:00,-0.038782,20.486226
05/05/2011 22:00:00,0.031416,20.793393
05/05/2011 23:00:00,0.102997,19.798352
06/05/2011 00:00:00,0.157294,20.278021
06/05/2011 01:00:00,0.202073,20.376677
06/05/2011 02:00:00,0.173630,20.593160
06/05/2011 03:00:00,0.131260,18.985423
06/05/2011 04:00:00,0.049223,19.588468
06/05/2011 05:00:00,-0.037984,18.256195
06/05/2011 06:00:00,-0.106712,19.196732
06/05/2011 07:00:00,-0.158139,18.958484
06/05/2011 08:00:00,-0.163213,19.608958
06/05/2011 09:00:00,-0.130723,19.803428
06/05/2011 10:00:00,-0.053386,20.748363
06/05/2011 11:00:00,0.039634,21.521541
06/05/2011 12:00:00,0.122175,20.960936
06/05/2011 13:00:00,0.184172,21.682612
06/05/2011 14:00:00,0.207338,20.416485
06/05/2011 15:00:00,0.187972,19.540220
06/05/2011 16:00:00,0.140937,20.409364
06/05/2011 17:00:00,0.065343,19.509715
06/05/2011 18:00:00,-0.005541,19.301712
06/05/2011 19:00:00,-0.062347,19.991245
06/05/2011 20:00:00,-0.096215,19.518279
06/05/2011 21:00:00,-0.077423,19.771841
06/05/2011 22:00:00,-0.017292,20.650010
06/05/2011 23:00:00,0.060176,21.041601
07/05/2011 00:00:00,0.135921,20.934809
